Summary weighted ranks,Ageing,Anti-Corruption,Benchmarking Progress,Catastrophic Risks,Chronic Diseases & Well-being,Climate Change,Competitiveness,Conflict Prevention,Design,Ecosystems & Biodiversity,Education,Emerging Multinationals,Emerging Technologies,Employment & Social Protection,Energy Security,Fiscal Crises,Food Security,Fragile States,Future of Government,Geopolitical Risk,Human Rights,Humanitarian Assistance,Illicit Trade,Informed Societies,Innovation,Institutional Governance Systems,Intellectual Property System,International Legal System,International Monetary System,Internet Security,Migration,Next Generation,Ocean Governance,Organized Crime,Population Growth,Poverty & Economic Development,Role of Business,Skills & Talent Mobility,Social Innovation,Space Security,Systemic Financial Risk,Terrorism,Trade,Urbanization,Values,Water Security,Weapons of Mass Destruction,Women’s Empowerment,Africa,China,Europe & Central Asia,India,Japan,Korea,Latin America,Middle East & North Africa,North America,South-East Asia,Automotive,"Aviation, Travel & Tourism",Banking & Capital Markets,Consumer,Health,Insurance & Asset Management,Logistics & Supply Chain,"Media, Entertainment & Information",Mining & Metals,Private Fund Managers,Public & Institutional Investors,Real Estate,Renewable Energy,Telecom
"Aviation, Travel & Tourism",0,0,0,0.075,0,0.8,0.225,0,0,0,0.075,0,0.075,0,0.2,0,0,0,0,0.125,0,0,0,0,0.075,0,0,0,0,0,0,0.075,0,0,0,0.125,0.1,0,0,0,0.075,0.075,0.3,0,0,0,0,0,0,0.66,0.366666667,0.22,0,0,0.1,0.06,0.393333333,0.1,0.135,0,0.135,0.625,0.06,0,0.26,0.135,0,0,0.125,0,0.425,0
Banking & Capital Markets,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0,0,0,0,0.15,0,0,0,0.55,0,0,0,0,0,0,0,0.15,0,0,0,0.7,0,0,0,0,0,0,0,0,0.3,0.475,0.075,0,0,0.25,0,0.55,0.25,0,0,0,0.25,0,0.75,0,0,0,0.3,0.6,0,0,0
Consumer,0,0,0,0.1,0,0.296428571,0.271428571,0,0.575,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0.185714286,0,0,0,0,0,0,0.1,0,0,0,0.125,0.085714286,0.085714286,0,0,0,0.085714286,0.960714286,0.210714286,0.3,0,0,0.085714286,0,0.128571429,0.128571429,0,0,0.05,0.125,0.210714286,0,0.546428571,0.560714286,0.05,0.085714286,0,0,0.221428571,0.05
Health,0.225,0,0,0.2,0.625,0,0,0,0,0,0,0.1,0.1,0.075,0,0,0,0,0,0,0,0,0,0,0.125,0.2,0.2,0,0,0,0,0,0,0,0.1,0.275,0,0,0,0,0,0,0,0.075,0,0,0,0.1,0.9,0.7,0.0375,0.15,0,0,0,0.0375,0.0375,0.0375,0,0.15,0,0.25,0.142857143,0.05,0.385714286,0.435714286,0,0,0.142857143,0,0,0.342857143
Insurance & Asset Management,0.65,0,0,0.7,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.15,0,0,0,0,0,0,0,0.666666667,0.433333333,0,0.2,0,0.2,0,0.2,0.2,0,0,0.5,0.1,0.45,0.25,0,0,0,0.1,0.4,0,0,0.1
Logistics & Supply Chain,0,0,0.114285714,0,0,0.371428571,0.342857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.085714286,0,0.085714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885714286,0.314285714,0,0,0,0,0,0.914285714,0.342857143,0.242857143,0,0,0.1,0.05,0.15,0.1,0.3,0.242857143,0,0.628571429,0,0.1,0,0,0,0,0.1,0,0.528571429,0
"Media, Entertainment & Information",0,0.046153846,0,0,0,0.061538462,0.061538462,0.123076923,0.046153846,0,0.307692308,0.046153846,0.215384615,0,0,0,0.076923077,0,0.046153846,0,0,0,0.046153846,0.230769231,0.2,0,0.123076923,0,0,0.107692308,0,0.076923077,0,0,0,0.138461538,0.046153846,0.046153846,0,0,0,0,0,0,0.138461538,0,0,0.215384615,0.169230769,0.492307692,0.169230769,0.369230769,0.076923077,0,0.046153846,0.261538462,0.292307692,0.023076923,0.054545455,0.076923077,0.09,0.478951049,0.169090909,0,0.054545455,0.076923077,0,0.084545455,0.084545455,0,0.06,0.66993007
Mining & Metals,0,0.2,0,0,0,0.2,0,0.52,0,0,0,0,0,0,0.16,0,0,0.36,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0.24,0,0,0.8,0.5,0.12,0.18,0,0,0.24,0,0,0.06,0.2,0,0.2,0.075,0,0,0.3,0.075,0,0.2,0.625,0,0.225,0
Private Fund Managers,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,1,0.3,0,0,0,0,0,0.6,0,0,0,1,0,0,0.6,0,0,0,0,0,0,0.3,0
Public & Institutional Investors,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0.16,0,0,0,0,0.4,0.2,0,0,0,0,0.2,0.4,0,0.16,0,0,0,0,0,0,0,0,0.2,0,0.12,0,0.44,0,0,0,0,0,0,0,0,0.7,0.24,0.06,0.06,0,0,0.06,0.72,0.06,0,0,0.78,0,0,0.44,0,0,0,0.56,0.12,0,0,0
Real Estate,0,0,0,0,0,0.283333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0.466666667,0,0.45,0,0,0,0.166666667,0,0,0.9,0,0,0,0,0.408333333,0.275,0.375,0.075,0,0,0.1,0,0.5,0.166666667,0,0,0.866666667,0,0.1,0,0,0,0,0.3,0.533333333,0,0.1,0
Renewable Energy,0,0,0,0,0,1,0.3,0,0,0,0,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,0,0,0,0.3,0,0,0.3,0.5,0,0.5,0,0,0,0,0,0,0,0.6,0.3,0,0
Telecom,0,0,0,0,0.406666667,0,0.12,0,0,0,0,0,0.326666667,0,0,0,0,0,0,0,0,0,0,0.326666667,0.16,0.12,0,0,0,0,0,0,0.166666667,0,0,0.333333333,0,0.12,0.16,0,0,0,0,0,0,0,0,0.16,0.46,0.18,0.64,0.18,0,0,0,0,0.32,0.12,0,0,0.26,0.38,0.58,0,0,0.5,0,0,0.06,0,0.12,0
