Summary weighted ranks,Ageing,Anti-Corruption,Benchmarking Progress,Catastrophic Risks,Chronic Diseases & Well-being,Climate Change,Competitiveness,Conflict Prevention,Design,Ecosystems & Biodiversity,Education,Emerging Multinationals,Emerging Technologies,Employment & Social Protection,Energy Security,Fiscal Crises,Food Security,Fragile States,Future of Government,Geopolitical Risk,Human Rights,Humanitarian Assistance,Illicit Trade,Informed Societies,Innovation,Institutional Governance Systems,Intellectual Property System,International Legal System,International Monetary System,Internet Security,Migration,Next Generation,Ocean Governance,Organized Crime,Population Growth,Poverty & Economic Development,Role of Business,Skills & Talent Mobility,Social Innovation,Space Security,Systemic Financial Risk,Terrorism,Trade,Urbanization,Values,Water Security,Weapons of Mass Destruction,Women’s Empowerment,Africa,China,Europe & Central Asia,India,Japan,Korea,Latin America,Middle East & North Africa,North America,South-East Asia,Automotive,"Aviation, Travel & Tourism",Banking & Capital Markets,Consumer,Health,Insurance & Asset Management,Logistics & Supply Chain,"Media, Entertainment & Information",Mining & Metals,Private Fund Managers,Public & Institutional Investors,Real Estate,Renewable Energy,Telecom
Next Generation,0.090909091,0,0,0,0.090909091,0,0,0,0,0,0.750909091,0,0,0.132727273,0,0,0.205454545,0,0.06,0,0.072727273,0,0,0,0.241818182,0,0,0,0,0,0,0,0,0,0,0.210909091,0,0,0.072727273,0,0,0,0,0.265454545,0.06,0,0,0.145454545,0.636363636,0.345454545,0.172727273,0.190909091,0,0,0.054545455,0.181818182,0.027272727,0.290909091,0,0,0.06,0.226666667,0.466666667,0.033333333,0.033333333,0.48,0,0,0.12,0,0.166666667,0.313333333
Ocean Governance,0,0,0,0,0,0.125,0,0,0,0.4,0,0,0,0,0.125,0,0.2,0,0,0,0,0,0.114285714,0,0,0.239285714,0,0.421428571,0,0,0,0,0,0.085714286,0.239285714,0,0,0,0,0,0,0,0.325,0,0.125,0,0,0,0.05,0.433333333,0.252380952,0.085714286,0.216666667,0.085714286,0.383333333,0,0.085714286,0.307142857,0,0.16,0,0.2,0.06,0.1,0.488571429,0.285714286,0.242857143,0,0.06,0,0.302857143,0
Organized Crime,0,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257142857,0,0,0,0,0.6,0.114285714,0,0.142857143,0,0.085714286,0,0.114285714,0,0,0,0,0,0.142857143,0.142857143,0,0,0,0,0.085714286,0,0,0,0,0,0,0.757142857,0.085714286,0.3,0,0,0,0.671428571,0,0,0.085714286,0,0.285714286,0.717142857,0,0,0,0,0.145714286,0.288571429,0.085714286,0.085714286,0.145714286,0,0.145714286
Population Growth,0.44,0,0,0,0.14,0.32,0,0,0,0,0.06,0,0,0,0,0,0.12,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.38,0.06,0,0,0,0.24,0,0,0,0,0,0,0,0.18,0,0,0,0.36,0.793333333,0.326666667,0.06,0.253333333,0,0,0.066666667,0.18,0.033333333,0.186666667,0,0,0.1125,0.175,0.975,0.075,0,0.075,0,0,0.075,0.0375,0.3,0.075
Poverty & Economic Development,0,0.111111111,0,0,0,0.311111111,0.066666667,0,0,0,0.177777778,0,0.066666667,0.066666667,0,0,0.333333333,0.155555556,0,0,0,0,0,0,0,0.2,0.066666667,0,0,0,0,0,0,0,0.066666667,0,0.088888889,0,0,0,0,0,0.177777778,0.088888889,0.066666667,0,0,0.355555556,0.875,0.1875,0.075,0.15,0,0,0.225,0.2,0.0375,0.15,0,0,0.7,0.075,0.1125,0.075,0.0375,0,0.275,0.075,0.2375,0,0.275,0.0375
Role of Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.4,0,0,0,0,0,0,0.65,0.45,0,0,0,0.3,0,0.5,0,0,0,0.45,0,0,0,0.15,0,0,0.3,1,0,0,0
Skills & Talent Mobility,0,0,0,0,0,0,0.56,0,0,0,0.44,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0.2,0.16,0,0,0,0,0.36,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.65,0.25,0,0,0,0.15,0.475,0.075,0,0.333333333,0.2,0.1,0.4,0.1,0.1,0.333333333,0,0,0.333333333,0,0,0
Social Innovation,0,0,0.257142857,0,0.185714286,0.057142857,0.171428571,0.071428571,0,0,0.171428571,0,0,0.185714286,0,0,0.042857143,0,0.1,0,0.085714286,0.057142857,0,0.042857143,0.285714286,0,0,0,0,0,0,0.071428571,0,0,0,0.342857143,0.114285714,0,0,0,0,0,0,0,0.157142857,0,0,0,0.563736264,0.046153846,0.128571429,0.151648352,0,0,0.483516484,0.185714286,0.208791209,0.131868132,0.023076923,0,0.415384615,0.192307692,0.330769231,0,0.115384615,0.2,0,0.115384615,0.361538462,0,0.146153846,0
Space Security,0,0,0,0,0,0.25,0.075,0.45,0,0,0,0,0.1,0,0,0,0,0,0.1,0.125,0,0.125,0,0.225,0.25,0.15,0,0.275,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.075,0,0,0.6,0.357142857,0.3,0,0,0,0.085714286,0.557142857,0,0,0.375,0.125,0,0,0.225,0,0.35,0.05,0,0.05,0,0.075,0.65
Systemic Financial Risk,0,0,0,0.12,0,0,0,0,0,0,0.133333333,0.133333333,0,0,0,0.733333333,0,0,0.166666667,0.12,0,0,0,0.166666667,0,0.12,0,0,0.466666667,0,0,0,0,0,0,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.416666667,0.1,0.05,0,0.15,0.05,0.533333333,0,0,0,1,0,0,0.42,0,0.1,0,0,0.16,0.22,0,0
